자치구,재활용폐기물량,음식물류폐기물량,일반쓰레기량,년도
종로구,103.69999694824219,96.80000305175781,123.9000015258789,2015
중구,187.3000030517578,127.80000305175781,185.20000076293945,2015
용산구,87.69999694824219,77.80000305175781,89.60000133514404,2015
성동구,87.19999694824219,91.80000305175781,80.4000015258789,2015
광진구,146.1999969482422,104.19999694824219,89.00000190734863,2015
동대문구,185.8000030517578,105.80000305175781,116.69999885559082,2015
중랑구,188.3000030517578,99.5999984741211,104.20000171661377,2015
성북구,141.6999969482422,106.9000015258789,110.60000228881836,2015
강북구,64.0999984741211,88.5999984741211,77.5,2015
도봉구,147.8000030517578,96.9000015258789,70.0,2015
노원구,188.1999969482422,162.8000030517578,113.19999694824219,2015
은평구,66.5999984741211,93.19999694824219,67.69999885559082,2015
서대문구,119.69999694824219,82.69999694824219,99.0999984741211,2015
마포구,188.89999389648438,142.5,130.20000171661377,2015
양천구,105.30000305175781,117.19999694824219,100.0,2015
강서구,127.9000015258789,178.8000030517578,127.50000381469727,2015
구로구,64.19999694824219,112.19999694824219,138.3000030517578,2015
금천구,105.69999694824219,65.80000305175781,68.60000151395798,2015
영등포구,88.30000305175781,160.6999969482422,140.89999961853027,2015
동작구,103.80000305175781,106.19999694824219,87.90000343322754,2015
관악구,92.9000015258789,116.80000305175781,128.19999885559082,2015
서초구,196.3000030517578,206.0,160.0,2015
강남구,198.3000030517578,272.20001220703125,242.70000457763672,2015
송파구,176.60000610351562,221.0,178.10000228881836,2015
강동구,173.10000610351562,131.5,107.79999923706055,2015
종로구,119.30000305175781,107.9000015258789,178.79999923706055,2016
중구,186.10000610351562,126.0999984741211,187.0,2016
용산구,89.69999694824219,77.19999694824219,95.20000171661377,2016
성동구,88.80000305175781,87.80000305175781,81.20000076293945,2016
광진구,138.1999969482422,102.5999984741211,85.49999809265137,2016
동대문구,205.60000610351562,105.4000015258789,115.60000038146973,2016
중랑구,190.39999389648438,93.19999694824219,104.30000019073486,2016
성북구,150.60000610351562,103.19999694824219,104.49999713897705,2016
강북구,70.30000305175781,84.5,75.19999694824219,2016
도봉구,156.3000030517578,90.69999694824219,68.10000133514404,2016
노원구,177.6999969482422,158.0,119.39999866485596,2016
은평구,57.29999923706055,91.30000305175781,134.8000030517578,2016
서대문구,115.0,79.80000305175781,103.60000133514404,2016
마포구,190.1999969482422,131.1999969482422,135.19999885559082,2016
양천구,75.5999984741211,111.80000305175781,100.49999809265137,2016
강서구,110.9000015258789,179.89999389648438,134.49999618530273,2016
구로구,64.30000305175781,112.9000015258789,141.0,2016
금천구,105.30000305175781,64.69999694824219,69.60000306367874,2016
영등포구,132.6999969482422,155.0,119.10000228881836,2016
동작구,89.30000305175781,99.0999984741211,92.0999984741211,2016
관악구,97.5999984741211,115.30000305175781,126.79999542236328,2016
서초구,213.6999969482422,182.39999389648438,174.0,2016
강남구,188.89999389648438,285.79998779296875,232.5,2016
송파구,191.60000610351562,207.10000610351562,171.0,2016
강동구,268.8999938964844,122.5,108.79999923706055,2016
종로구,122.30000305175781,105.4000015258789,147.39999771118164,2017
중구,118.0,107.4000015258789,220.60000610351562,2017
용산구,91.30000305175781,74.9000015258789,96.50000190734863,2017
성동구,81.9000015258789,85.69999694824219,88.10000228881836,2017
광진구,140.1999969482422,99.0999984741211,79.89999771118164,2017
동대문구,208.8000030517578,101.80000305175781,111.89999771118164,2017
중랑구,172.8000030517578,90.69999694824219,97.79999732971191,2017
성북구,142.60000610351562,95.4000015258789,107.49999618530273,2017
강북구,74.9000015258789,78.80000305175781,71.19999837875366,2017
도봉구,90.0999984741211,82.30000305175781,71.20000314712524,2017
노원구,170.3000030517578,138.6999969482422,107.69999694824219,2017
은평구,96.5999984741211,86.69999694824219,136.3000030517578,2017
서대문구,103.30000305175781,76.9000015258789,118.10000228881836,2017
마포구,196.3000030517578,108.9000015258789,132.49999809265137,2017
양천구,85.80000305175781,108.4000015258789,101.20000076293945,2017
강서구,160.89999389648438,168.5,134.30000114440918,2017
구로구,72.19999694824219,102.30000305175781,136.2999973297119,2017
금천구,110.4000015258789,59.599998474121094,71.80000001192093,2017
영등포구,75.69999694824219,154.5,110.5,2017
동작구,86.80000305175781,91.5,90.69999885559082,2017
관악구,121.19999694824219,110.19999694824219,130.39999771118164,2017
서초구,226.10000610351562,179.0,166.5999984741211,2017
강남구,213.0,261.79998779296875,233.50000762939453,2017
송파구,181.6999969482422,188.6999969482422,179.9000015258789,2017
강동구,165.3000030517578,114.5,95.19999885559082,2017
종로구,133.89999389648438,100.80000305175781,128.0,2018
중구,126.69999694824219,114.80000305175781,188.20000076293945,2018
용산구,118.9000015258789,74.0999984741211,95.39999961853027,2018
성동구,94.69999694824219,84.19999694824219,91.10000038146973,2018
광진구,168.1999969482422,95.0999984741211,79.20000076293945,2018
동대문구,208.3000030517578,97.5999984741211,110.39999771118164,2018
중랑구,192.89999389648438,88.80000305175781,110.19999694824219,2018
성북구,155.8000030517578,94.0,98.70000267028809,2018
강북구,79.5,75.9000015258789,75.19999837875366,2018
도봉구,109.80000305175781,78.30000305175781,67.5999984741211,2018
노원구,228.3000030517578,131.89999389648438,107.00000286102295,2018
은평구,110.80000305175781,84.19999694824219,138.29999923706055,2018
서대문구,103.19999694824219,73.0999984741211,109.00000190734863,2018
마포구,202.8000030517578,91.0999984741211,145.5999984741211,2018
양천구,95.0999984741211,104.9000015258789,97.69999694824219,2018
강서구,173.3000030517578,163.10000610351562,143.59999656677246,2018
구로구,76.0,96.80000305175781,146.5999984741211,2018
금천구,116.19999694824219,59.0,73.6000030040741,2018
영등포구,82.30000305175781,134.3000030517578,118.70000171661377,2018
동작구,109.0,91.0999984741211,90.50000381469727,2018
관악구,205.60000610351562,110.30000305175781,120.89999771118164,2018
서초구,215.60000610351562,175.6999969482422,172.4000015258789,2018
강남구,176.0,269.5,231.59999656677246,2018
송파구,199.1999969482422,217.6999969482422,194.9000015258789,2018
강동구,158.60000610351562,109.9000015258789,101.5999984741211,2018
종로구,124.5,95.0999984741211,120.20000076293945,2019
중구,136.5,87.80000305175781,189.39999389648438,2019
용산구,127.80000305175781,70.80000305175781,100.60000228881836,2019
성동구,136.8000030517578,74.5999984741211,89.69999885559082,2019
광진구,158.6999969482422,94.5,80.29999923706055,2019
동대문구,205.60000610351562,92.80000305175781,112.5999984741211,2019
중랑구,186.0,37.099998474121094,107.00000381469727,2019
성북구,180.5,95.0999984741211,94.89999866485596,2019
강북구,101.69999694824219,73.5999984741211,75.90000009536743,2019
도봉구,140.0,80.69999694824219,81.69999980926514,2019
노원구,82.4000015258789,125.0,108.49999856948853,2019
은평구,150.8000030517578,74.0999984741211,143.70000076293945,2019
서대문구,76.5,70.0,93.10000228881836,2019
마포구,162.5,123.4000015258789,191.4000015258789,2019
양천구,104.0,117.5,119.30000305175781,2019
강서구,286.0,160.1999969482422,151.20000076293945,2019
구로구,74.0999984741211,96.9000015258789,155.39999961853027,2019
금천구,135.5,62.5,88.69999847561121,2019
영등포구,111.0,155.39999389648438,147.1999969482422,2019
동작구,131.89999389648438,93.0,90.49999618530273,2019
관악구,221.89999389648438,91.30000305175781,121.39999771118164,2019
서초구,114.0,179.1999969482422,204.79999542236328,2019
강남구,225.0,123.19999694824219,241.39999389648438,2019
송파구,190.10000610351562,414.70001220703125,199.5999984741211,2019
강동구,165.5,117.5999984741211,115.80000305175781,2019
종로구,77.4000015258789,76.0,109.30000114440918,2020
중구,117.9000015258789,80.0999984741211,159.4999942779541,2020
용산구,133.60000610351562,63.70000076293945,103.79999923706055,2020
성동구,123.69999694824219,78.19999694824219,89.00000190734863,2020
광진구,152.0,86.80000305175781,104.30000114440918,2020
동대문구,240.10000610351562,90.80000305175781,109.19999885559082,2020
중랑구,139.89999389648438,86.69999694824219,111.0,2020
성북구,158.5,87.4000015258789,115.29999828338623,2020
강북구,77.19999694824219,68.69999694824219,97.20000267028809,2020
도봉구,126.19999694824219,72.80000305175781,101.59999990463257,2020
노원구,162.6999969482422,117.5,112.39999866485596,2020
은평구,143.39999389648438,79.5,157.29999923706055,2020
서대문구,112.4000015258789,63.400001525878906,109.49999809265137,2020
마포구,133.8000030517578,84.5999984741211,148.0999984741211,2020
양천구,196.8000030517578,89.0,108.59999656677246,2020
강서구,221.6999969482422,144.10000610351562,159.79999923706055,2020
구로구,90.5,82.0999984741211,157.0,2020
금천구,133.6999969482422,55.0,83.29999828338623,2020
영등포구,160.8000030517578,136.39999389648438,148.29999923706055,2020
동작구,151.6999969482422,85.30000305175781,85.10000228881836,2020
관악구,188.6999969482422,94.0999984741211,118.69999694824219,2020
서초구,142.60000610351562,155.8000030517578,206.5,2020
강남구,213.10000610351562,242.39999389648438,238.0,2020
송파구,332.5,208.5,185.3000030517578,2020
강동구,137.89999389648438,110.4000015258789,119.19999694824219,2020
