행정동,주택수,단독주택수,다가구주택수,아파트수,월세거래수,월세평균임대면적,월세평균보증금액,월세평균임대료액,다가구주택_월세거래수,다가구주택_월세평균임대면적,다가구주택_월세평균보증금액,다가구주택_월세평균임대료액,전세거래수,전세평균임대면적,전세평균보증금액,다가구주택_전세거래수,아파트_전세거래수,다가구주택_전세평균임대면적,아파트_전세평균임대면적,다가구주택_전세평균보증금액,아파트_전세평균보증금액,임대거래수,실거래수,평균실거래가,평균거래면적,다가구주택_실거래수,다가구주택_평균실거래가,다가구주택_평균거래면적,아파트_실거래수,아파트_평균실거래가,아파트_평균거래면적,지가변동률,아파트비율,단독주택비율,단독주택_내_다가구주택_비율,월세비율,다가구주택_전월세비율,다가구주택_실거래비율,아파트_실거래비율
화양동,5296,1413,1127,1360,1279.0,23.403604378420642,2321.0320562939796,48.41985926505082,849.0,24.414040047114252,1974.7349823321554,44.69846878680801,736.0,29.031942934782606,14927.092391304348,459.0,52.0,11204.063180827887,29993.26923076923,28.989651416122005,47.35942307692308,2015.0,199.0,51451.9296482412,62.53412060301507,31.0,165246.25806451612,201.7606451612903,82.0,39537.31707317073,41.228292682926835,0.25608334,0.256797583081571,0.2668051359516616,0.7975937721160651,0.6347394540942928,1.8496732026143792,0.15577889447236182,0.4120603015075377
군자동,4556,1435,1145,779,826.0,31.12898305084746,3161.2360774818403,42.92978208232446,692.0,30.87579479768786,2571.5101156069363,40.86416184971098,677.0,38.7884047267356,16459.84490398818,492.0,30.0,12971.239837398374,46073.333333333336,37.43414634146341,88.46433333333333,1503.0,244.0,61917.05327868852,95.45049180327868,61.0,124009.85245901639,218.6345901639344,46.0,75508.69565217392,94.70173913043477,0.27874997,0.17098331870061456,0.3149692712906058,0.7979094076655052,0.5495675316034597,1.4065040650406504,0.25,0.1885245901639344
중곡1동,3613,1094,788,148,2351.0,39.46545725223309,4103.732028923862,40.781369629944706,1745.0,42.027959885386814,3645.0458452722064,38.406303724928364,2614.0,42.79526013771997,17892.206579954094,1418.0,69.0,14037.877291960507,24114.855072463768,45.92374471086037,52.00942028985507,4965.0,1107.0,43451.086720867206,82.05474254742548,211.0,103037.336492891,222.0742654028436,71.0,42246.47887323944,67.89676056338028,0.35891667,0.0409631884860227,0.30279546083587044,0.720292504570384,0.47351460221550856,1.2306064880112835,0.19060523938572718,0.06413730803974707
중곡2동,4986,1188,876,300,2351.0,39.46545725223309,4103.732028923862,40.781369629944706,1745.0,42.027959885386814,3645.0458452722064,38.406303724928364,2614.0,42.79526013771997,17892.206579954094,1418.0,69.0,14037.877291960507,24114.855072463768,45.92374471086037,52.00942028985507,4965.0,1107.0,43451.086720867206,82.05474254742548,211.0,103037.336492891,222.0742654028436,71.0,42246.47887323944,67.89676056338028,0.35891667,0.06016847172081829,0.23826714801444043,0.7373737373737373,0.47351460221550856,1.2306064880112835,0.19060523938572718,0.06413730803974707
중곡3동,3870,1179,908,462,2351.0,39.46545725223309,4103.732028923862,40.781369629944706,1745.0,42.027959885386814,3645.0458452722064,38.406303724928364,2614.0,42.79526013771997,17892.206579954094,1418.0,69.0,14037.877291960507,24114.855072463768,45.92374471086037,52.00942028985507,4965.0,1107.0,43451.086720867206,82.05474254742548,211.0,103037.336492891,222.0742654028436,71.0,42246.47887323944,67.89676056338028,0.35891667,0.11937984496124031,0.30465116279069765,0.7701441899915182,0.47351460221550856,1.2306064880112835,0.19060523938572718,0.06413730803974707
중곡4동,7366,1508,1177,314,2351.0,39.46545725223309,4103.732028923862,40.781369629944706,1745.0,42.027959885386814,3645.0458452722064,38.406303724928364,2614.0,42.79526013771997,17892.206579954094,1418.0,69.0,14037.877291960507,24114.855072463768,45.92374471086037,52.00942028985507,4965.0,1107.0,43451.086720867206,82.05474254742548,211.0,103037.336492891,222.0742654028436,71.0,42246.47887323944,67.89676056338028,0.35891667,0.04262829215313603,0.2047244094488189,0.7805039787798409,0.47351460221550856,1.2306064880112835,0.19060523938572718,0.06413730803974707
능동,2531,786,647,21,633.0,32.68706161137441,4453.4928909952605,43.87519747235387,458.0,33.16336244541485,3750.873362445415,40.50873362445415,586.0,37.22742320819113,18722.994880546074,334.0,1.0,15715.718562874252,33600.0,40.322574850299404,79.0,1219.0,79.0,82826.70886075949,118.00126582278482,23.0,201741.30434782608,291.16391304347826,1.0,57000.0,80.47,0.28675,0.008297115764519953,0.3105491900434611,0.8231552162849872,0.5192780968006563,1.3712574850299402,0.2911392405063291,0.012658227848101266
구의1동,5195,1070,793,264,2151.0,40.99657833565783,6416.708507670851,50.10599721059972,1199.0,38.74085904920767,3579.2994161801503,40.16763969974979,2503.0,50.42815821014782,28591.766280463446,771.0,615.0,14717.490272373541,55067.51707317073,41.77316472114138,78.72801626016259,4654.0,1036.0,55092.87451737452,73.46624517374518,86.0,140986.89534883722,243.76441860465118,237.0,102615.99156118144,83.30552742616034,0.46208334,0.05081809432146295,0.20596727622714148,0.7411214953271028,0.46218306832831973,1.5551232166018158,0.08301158301158301,0.22876447876447875
구의2동,7341,977,761,1355,2151.0,40.99657833565783,6416.708507670851,50.10599721059972,1199.0,38.74085904920767,3579.2994161801503,40.16763969974979,2503.0,50.42815821014782,28591.766280463446,771.0,615.0,14717.490272373541,55067.51707317073,41.77316472114138,78.72801626016259,4654.0,1036.0,55092.87451737452,73.46624517374518,86.0,140986.89534883722,243.76441860465118,237.0,102615.99156118144,83.30552742616034,0.46208334,0.18457975752622258,0.13308813513145348,0.7789150460593655,0.46218306832831973,1.5551232166018158,0.08301158301158301,0.22876447876447875
구의3동,9070,424,299,5985,2151.0,40.99657833565783,6416.708507670851,50.10599721059972,1199.0,38.74085904920767,3579.2994161801503,40.16763969974979,2503.0,50.42815821014782,28591.766280463446,771.0,615.0,14717.490272373541,55067.51707317073,41.77316472114138,78.72801626016259,4654.0,1036.0,55092.87451737452,73.46624517374518,86.0,140986.89534883722,243.76441860465118,237.0,102615.99156118144,83.30552742616034,0.46208334,0.6598676957001103,0.046747519294377066,0.7051886792452831,0.46218306832831973,1.5551232166018158,0.08301158301158301,0.22876447876447875
광장동,10349,214,117,9068,329.0,67.40607902735562,20506.47112462006,75.27659574468085,62.0,34.95983870967742,4170.887096774193,41.25806451612903,914.0,78.3746170678337,54129.26148796499,63.0,767.0,15609.52380952381,60206.186440677964,39.94619047619048,83.21139504563233,1243.0,530.0,104864.26037735849,84.40332075471699,12.0,113372.16666666667,151.63833333333335,395.0,126568.48101265823,89.26645569620253,0.16341667,0.8762199246303991,0.020678326408348633,0.5467289719626168,0.26468222043443285,0.9841269841269841,0.022641509433962263,0.7452830188679245
자양1동,5398,1205,893,784,2432.0,44.82943667763158,6848.3026315789475,50.06990131578947,1668.0,37.92248800959233,3043.4952038369306,39.14208633093525,2867.0,56.63684687826997,30585.528775723753,970.0,948.0,13631.340206185567,55286.09493670886,43.81321649484536,84.12719409282701,5299.0,1628.0,73858.95577395578,76.73273341523341,171.0,150929.33333333334,223.53777777777776,529.0,112867.20982986767,90.6475236294896,0.45941663,0.14523897739903668,0.22323082623193777,0.7410788381742739,0.458954519720702,1.7195876288659795,0.10503685503685503,0.3249385749385749
자양2동,7066,848,601,2802,2432.0,44.82943667763158,6848.3026315789475,50.06990131578947,1668.0,37.92248800959233,3043.4952038369306,39.14208633093525,2867.0,56.63684687826997,30585.528775723753,970.0,948.0,13631.340206185567,55286.09493670886,43.81321649484536,84.12719409282701,5299.0,1628.0,73858.95577395578,76.73273341523341,171.0,150929.33333333334,223.53777777777776,529.0,112867.20982986767,90.6475236294896,0.45941663,0.3965468440418907,0.12001132182281347,0.7087264150943396,0.458954519720702,1.7195876288659795,0.10503685503685503,0.3249385749385749
자양3동,8582,402,301,7088,2432.0,44.82943667763158,6848.3026315789475,50.06990131578947,1668.0,37.92248800959233,3043.4952038369306,39.14208633093525,2867.0,56.63684687826997,30585.528775723753,970.0,948.0,13631.340206185567,55286.09493670886,43.81321649484536,84.12719409282701,5299.0,1628.0,73858.95577395578,76.73273341523341,171.0,150929.33333333334,223.53777777777776,529.0,112867.20982986767,90.6475236294896,0.45941663,0.8259147051969238,0.046842227918900026,0.7487562189054726,0.458954519720702,1.7195876288659795,0.10503685503685503,0.3249385749385749
자양4동,4613,1589,1278,1405,2432.0,44.82943667763158,6848.3026315789475,50.06990131578947,1668.0,37.92248800959233,3043.4952038369306,39.14208633093525,2867.0,56.63684687826997,30585.528775723753,970.0,948.0,13631.340206185567,55286.09493670886,43.81321649484536,84.12719409282701,5299.0,1628.0,73858.95577395578,76.73273341523341,171.0,150929.33333333334,223.53777777777776,529.0,112867.20982986767,90.6475236294896,0.45941663,0.30457402991545635,0.34446130500758726,0.8042794210195091,0.458954519720702,1.7195876288659795,0.10503685503685503,0.3249385749385749
